Appareil;Nom=;Four Thermidor Efita;;Numéro de série=;8470479;;Version de logiciel=;5.13;;;
;Adresse MAC=;00:0A:8D:81:3F:CF;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 1;;;;;;;;;;
Pt Froid;Bas=;50;Haut=;550;Unités=;°C;;;;;
% Puissance;Bas=;0;Haut=;100;Unités=;%;;;;;
Regulation;Bas=;50;Haut=;550;Unités=;°C;;;;;
Consigne T°;Bas=;50;Haut=;550;Unités=;°C;;;;;
Pt Chaud;Bas=;50;Haut=;550;Unités=;°C;;;;;
Date/Heure;;Pt Froid;% Puissance;Regulation;Consigne T°;Pt Chaud;;;;;
;;°C;%;°C;°C;°C;;;;;
20/02/2024 18:25:40;;60,3;0;72,4;35;52,9;;;;;
20/02/2024 18:25:50;;60,2;0;72,3;35;52,7;;;;;
20/02/2024 18:26:00;;59,9;0;72;35;52,6;;;;;
20/02/2024 18:26:10;;59,7;0;71,8;35;52,4;;;;;
20/02/2024 18:26:20;;59,5;0;71,5;35;52,2;;;;;
20/02/2024 18:26:30;;59,3;0;71,1;35;52,1;;;;;
20/02/2024 18:26:40;;59,2;0;70,9;35;52;;;;;
20/02/2024 18:26:50;;59,2;0;70,6;35;51,8;;;;;
20/02/2024 18:27:00;;59,1;0;70,4;35;51,7;;;;;
20/02/2024 18:27:10;;58,9;0;70,2;35;51,5;;;;;
20/02/2024 18:27:20;;58,8;0;70;35;51,4;;;;;
20/02/2024 18:27:30;;58,6;0;69,7;35;51,2;;;;;
20/02/2024 18:27:40;;58,5;0;69,6;35;51,1;;;;;
20/02/2024 18:27:50;;58,3;0;69,5;35;51;;;;;
20/02/2024 18:28:00;;58,2;0;69,4;35;50,9;;;;;
20/02/2024 18:28:10;;58,1;0;69,1;35;50,8;;;;;
20/02/2024 18:28:20;;58;0;68,9;35;50,7;;;;;
20/02/2024 18:28:30;;57,8;0;68,6;35;50,6;;;;;
20/02/2024 18:28:40;;57,6;0;68,4;35;50,4;;;;;
20/02/2024 18:28:50;;57,5;0;68,2;35;50,3;;;;;
20/02/2024 18:29:00;;57,4;0;68,1;35;50,3;;;;;
20/02/2024 18:29:10;;57,4;0;67,9;35;50,2;;;;;
20/02/2024 18:29:20;;57,3;0;67,7;35;50,1;;;;;
20/02/2024 18:29:30;;57,3;0;67,6;35;50;;;;;
20/02/2024 18:29:40;;57,3;0;67,4;35;49,9;;;;;
20/02/2024 18:29:50;;57,3;0;67,3;35;49,9;;;;;
